mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.95000005,"8 km E of P?hala, Hawaii",1651187807320,1651187995740,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72997982,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72997982&format=geojson,,,,,automatic,0,59,hv,72997982,",hv72997982,",",hv,",",origin,phase-data,",45.0,,0.109999999,160.0,md,earthquake,"M 2.0 - 8 km E of P?hala, Hawaii"
0.86,"16km NE of Borrego Springs, CA",1651187456800,1651192159752,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37496693,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37496693&format=geojson,,,,,reviewed,0,11,ci,37496693,",ci37496693,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.04139,0.1,261.0,ml,earthquake,"M 0.9 - 16km NE of Borrego Springs, CA"
0.91,"15km NE of Borrego Springs, CA",1651187454590,1651191854929,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40247976,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40247976&format=geojson,,,,,reviewed,0,13,ci,40247976,",ci40247976,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.05009,0.15,182.0,ml,earthquake,"M 0.9 - 15km NE of Borrego Springs, CA"
0.56,"12km SSE of Anza, CA",1651187399490,1651191505478,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40247968,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40247968&format=geojson,,,,,reviewed,0,5,ci,40247968,",ci40247968,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.04933,0.08,77.0,ml,earthquake,"M 0.6 - 12km SSE of Anza, CA"
2.69,"2 km ENE of Magas Arriba, Puerto Rico",1651187133620,1651190541376,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71346663,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71346663&format=geojson,1.0,2.0,,,reviewed,0,112,pr,71346663,",pr71346663,",",pr,",",dyfi,origin,phase-data,",8.0,,0.1,169.0,md,earthquake,"M 2.7 - 2 km ENE of Magas Arriba, Puerto Rico"
0.98,"259 km W of Adak, Alaska",1651187047450,1651201486150,,https://earthquake.usgs.gov/earthquakes/eventpage/av91547771,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91547771&format=geojson,,,,,reviewed,0,15,av,91547771,",av91547771,",",av,",",origin,phase-data,",6.0,,0.09,81.0,ml,earthquake,"M 1.0 - 259 km W of Adak, Alaska"
1.11,"5 km NW of Ridgely, Tennessee",1651186326670,1651241087000,,https://earthquake.usgs.gov/earthquakes/eventpage/nm60392211,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nm60392211&format=geojson,,,,,reviewed,0,19,nm,60392211,",nm60392211,",",nm,",",origin,phase-data,",13.0,0.03522,0.08,62.0,md,earthquake,"M 1.1 - 5 km NW of Ridgely, Tennessee"
0.85,"7km NW of The Geysers, CA",1651186269040,1651188190849,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725961,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725961&format=geojson,,,,,automatic,0,11,nc,73725961,",nc73725961,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.005496,0.01,96.0,md,earthquake,"M 0.9 - 7km NW of The Geysers, CA"
0.95,"259 km W of Adak, Alaska",1651186095180,1651200673390,,https://earthquake.usgs.gov/earthquakes/eventpage/av91056708,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91056708&format=geojson,,,,,reviewed,0,14,av,91056708,",av91056708,",",av,",",origin,phase-data,",6.0,,0.21,75.0,ml,earthquake,"M 1.0 - 259 km W of Adak, Alaska"
2.9,"51 km NW of Toyah, Texas",1651186087986,1651188597040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h5r5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h5r5&format=geojson,,,,,reviewed,0,129,us,7000h5r5,",us7000h5r5,",",us,",",origin,phase-data,",,0.242,0.6,91.0,ml,earthquake,"M 2.9 - 51 km NW of Toyah, Texas"
